Start Date,End Date,Event Name,Event Type,Impact Category,Positive or Negative,Importance (1-100),Description
2018-01-01,2018-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,93,
2018-02-11,2018-02-12,Sibiu Wine Festival,Food & Wine Festival,,,73,
2018-04-08,2018-04-09,Sibiu Country Market (Dumbrava),Community Event,,,63,
2018-06-21,2018-07-04,Sibiu International Theatre Festival,Theatre Festival,,,97,
2018-08-09,2018-08-12,ARTmania Festival,Music & Arts Festival,,,88,
2018-08-18,2018-08-19,Medieval Fortress Festival,Historical Festival,,,83,
2018-10-16,2018-10-23,Astra Film Festival,Documentary Film Festival,,,90,
2019-01-01,2019-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,94,
2019-02-10,2019-02-11,Sibiu Wine Festival,Food & Wine Festival,,,74,
2019-04-14,2019-04-15,Sibiu Country Market (Dumbrava),Community Event,,,64,
2019-06-20,2019-07-03,Sibiu International Theatre Festival,Theatre Festival,,,96,
2019-08-08,2019-08-11,ARTmania Festival,Music & Arts Festival,,,89,
2019-08-17,2019-08-18,Medieval Fortress Festival,Historical Festival,,,84,
2019-10-15,2019-10-22,Astra Film Festival,Documentary Film Festival,,,91,
2020-01-01,2020-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,80,
2020-02-09,2020-02-10,Sibiu Wine Festival,Food & Wine Festival,,,60,
2020-04-12,2020-04-13,Sibiu Country Market (Dumbrava),Community Event,,,50,
2020-06-25,2020-07-08,Sibiu International Theatre Festival,Theatre Festival,,,88,
2020-08-13,2020-08-16,ARTmania Festival,Music & Arts Festival,,,80,
2020-08-22,2020-08-23,Medieval Fortress Festival,Historical Festival,,,75,
2020-10-20,2020-10-27,Astra Film Festival,Documentary Film Festival,,,82,
2021-01-01,2021-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,82,
2021-02-14,2021-02-15,Sibiu Wine Festival,Food & Wine Festival,,,62,
2021-04-18,2021-04-19,Sibiu Country Market (Dumbrava),Community Event,,,52,
2021-06-24,2021-07-07,Sibiu International Theatre Festival,Theatre Festival,,,90,
2021-08-12,2021-08-15,ARTmania Festival,Music & Arts Festival,,,82,
2021-08-21,2021-08-22,Medieval Fortress Festival,Historical Festival,,,77,
2021-10-19,2021-10-26,Astra Film Festival,Documentary Film Festival,,,84,
2022-01-01,2022-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,84,
2022-02-13,2022-02-14,Sibiu Wine Festival,Food & Wine Festival,,,64,
2022-04-17,2022-04-18,Sibiu Country Market (Dumbrava),Community Event,,,54,
2022-06-23,2022-07-06,Sibiu International Theatre Festival,Theatre Festival,,,92,
2022-08-11,2022-08-14,ARTmania Festival,Music & Arts Festival,,,84,
2022-08-20,2022-08-21,Medieval Fortress Festival,Historical Festival,,,79,
2022-10-18,2022-10-25,Astra Film Festival,Documentary Film Festival,,,86,
2023-01-01,2023-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,86,
2023-02-12,2023-02-13,Sibiu Wine Festival,Food & Wine Festival,,,66,
2023-04-09,2023-04-10,Sibiu Country Market (Dumbrava),Community Event,,,56,
2023-06-22,2023-07-05,Sibiu International Theatre Festival,Theatre Festival,,,94,
2023-08-10,2023-08-13,ARTmania Festival,Music & Arts Festival,,,86,
2023-08-19,2023-08-20,Medieval Fortress Festival,Historical Festival,,,81,
2023-08-13,2023-08-16,Sibiu Food Truck Festival,Food Festival,,,78,
2023-10-17,2023-10-24,Astra Film Festival,Documentary Film Festival,,,88,
2024-01-01,2024-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,88,
2024-02-14,2024-02-15,Sibiu Wine Festival,Food & Wine Festival,,,68,
2024-04-14,2024-04-15,Sibiu Country Market (Dumbrava),Community Event,,,58,
2024-03-21,2024-03-22,Sibiu Japanese Film Festival (IZANAGI),Film Festival,,,70,
2024-06-21,2024-07-04,Sibiu International Theatre Festival,Theatre Festival,,,96,
2024-08-09,2024-08-12,ARTmania Festival,Music & Arts Festival,,,88,
2024-08-12,2024-08-15,Sibiu Food Truck Festival,Food Festival,,,80,
2024-08-18,2024-08-19,Medieval Fortress Festival,Historical Festival,,,83,
2024-10-20,2024-10-27,Astra Film Festival,Documentary Film Festival,,,90,
2025-01-01,2025-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,90,
2025-02-14,2025-02-16,Sibiu Wine Festival,Food & Wine Festival,,,70,
2025-04-13,2025-04-14,Sibiu Country Market (Dumbrava),Community Event,,,60,
2025-03-20,2025-03-21,Sibiu Japanese Film Festival (IZANAGI),Film Festival,,,72,
2025-06-19,2025-07-02,Sibiu International Theatre Festival,Theatre Festival,,,98,
2025-08-08,2025-08-11,ARTmania Festival,Music & Arts Festival,,,90,
2025-08-11,2025-08-14,Sibiu Food Truck Festival,Food Festival,,,82,
2025-08-17,2025-08-18,Medieval Fortress Festival,Historical Festival,,,85,
2025-10-17,2025-10-25,Astra Film Festival,Documentary Film Festival,,,92,
2026-01-01,2026-01-05,Sibiu Christmas Market,Seasonal/Holiday Festival,,,92,
2026-02-14,2026-02-16,Sibiu Wine Festival,Food & Wine Festival,,,72,
2026-04-12,2026-04-13,Sibiu Country Market (Dumbrava),Community Event,,,62,
2026-03-21,2026-03-22,Sibiu Japanese Film Festival (IZANAGI),Film Festival,,,74,
2026-06-19,2026-06-29,Sibiu International Theatre Festival,Theatre Festival,,,100,
2026-08-07,2026-08-10,ARTmania Festival,Music & Arts Festival,,,92,
2026-08-13,2026-08-16,Sibiu Food Truck Festival,Food Festival,,,84,
2026-08-16,2026-08-17,Medieval Fortress Festival,Historical Festival,,,87,
2026-10-17,2026-10-25,Astra Film Festival,Documentary Film Festival,,,94,
2026-06-03,2026-06-07,Este Film Festival,Film Festival,,,76,
2026-08-11,2026-08-11,Leo de la Roșiori Concert,Music Concert,,,62,
2026-08-06,2026-08-06,Goldwing Anniversary Party,Community Event,,,50,
2026-08-15,2026-08-15,Alma Vii Annual Festival,Community Festival,,,70,
2026-10-06,2026-10-06,Alexandru Andries Theatre Performance,Theatre Performance,,,60,
2026-10-31,2026-10-31,Fanteziile Soțului Meu Theatre,Theatre Performance,,,58,
2026-10-09,2026-10-09,Robin and the Backstabbers Concert,Live Music,,,55,
2026-12-06,2026-12-06,Direcția 5 Concert,Music Concert,,,64,
2026-12-08,2026-12-08,Regal Vienez Christmas Concert,Christmas Concert,,,75,
2026-12-06,2026-12-06,Scandalagii Comedy Theatre,Comedy Performance,,,60,
2026-02-15,2026-02-15,Anti Valentine's Day Event,Community Event,,,45,
