Start Date,End Date,Event Name,Event Type,Impact Category,Positive or Negative,Importance (1-100),Description
2015-10-03,2015-10-05,International Book Fair,Cultural Event,,,63,
2015-10-20,2015-10-28,Dracula Film Festival,Film Festival,,,77,
2016-01-01,2016-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,81,
2016-02-09,2016-02-14,Carnival Celebrations,Cultural Celebration,,,51,
2016-04-17,2016-04-17,Junii Brașovului Parade,Traditional Festival,,,96,
2016-04-24,2016-04-24,Brașov Marathon,Sports Event,,,66,
2016-07-25,2016-07-30,Rockstadt Extreme Fest,Music Festival,,,86,
2016-08-19,2016-08-26,Brașov Jazz & Blues Festival,Music Festival,,,81,
2016-10-08,2016-10-10,International Book Fair,Cultural Event,,,64,
2016-10-25,2016-11-02,Dracula Film Festival,Film Festival,,,78,
2017-01-01,2017-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,82,
2017-02-08,2017-02-13,Carnival Celebrations,Cultural Celebration,,,52,
2017-04-16,2017-04-16,Junii Brașovului Parade,Traditional Festival,,,97,
2017-04-23,2017-04-23,Brașov Marathon,Sports Event,,,67,
2017-07-24,2017-07-29,Rockstadt Extreme Fest,Music Festival,,,88,
2017-08-18,2017-08-25,Brașov Jazz & Blues Festival,Music Festival,,,83,
2017-10-07,2017-10-09,International Book Fair,Cultural Event,,,65,
2017-10-24,2017-11-01,Dracula Film Festival,Film Festival,,,79,
2018-01-01,2018-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,83,
2018-02-07,2018-02-12,Carnival Celebrations,Cultural Celebration,,,53,
2018-04-08,2018-04-08,Junii Brașovului Parade,Traditional Festival,,,98,
2018-04-22,2018-04-22,Brașov Marathon,Sports Event,,,68,
2018-07-23,2018-07-28,Rockstadt Extreme Fest,Music Festival,,,90,
2018-08-17,2018-08-24,Brașov Jazz & Blues Festival,Music Festival,,,85,
2018-10-06,2018-10-08,International Book Fair,Cultural Event,,,66,
2018-10-23,2018-10-31,Dracula Film Festival,Film Festival,,,80,
2019-01-01,2019-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,84,
2019-02-06,2019-02-11,Carnival Celebrations,Cultural Celebration,,,54,
2019-04-21,2019-04-21,Junii Brașovului Parade,Traditional Festival,,,99,
2019-04-21,2019-04-21,Brașov Marathon,Sports Event,,,69,
2019-07-22,2019-07-27,Rockstadt Extreme Fest,Music Festival,,,92,
2019-08-16,2019-08-23,Brașov Jazz & Blues Festival,Music Festival,,,87,
2019-10-05,2019-10-07,International Book Fair,Cultural Event,,,67,
2019-10-22,2019-10-30,Dracula Film Festival,Film Festival,,,81,
2020-01-01,2020-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,70,
2020-02-11,2020-02-16,Carnival Celebrations,Cultural Celebration,,,40,
2020-04-12,2020-04-12,Junii Brașovului Parade,Traditional Festival,,,88,
2020-04-26,2020-04-26,Brașov Marathon,Sports Event,,,55,
2020-07-27,2020-08-01,Rockstadt Extreme Fest,Music Festival,,,80,
2020-08-21,2020-08-28,Brașov Jazz & Blues Festival,Music Festival,,,78,
2020-10-10,2020-10-12,International Book Fair,Cultural Event,,,52,
2020-10-29,2020-11-06,Dracula Film Festival,Film Festival,,,68,
2021-01-01,2021-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,72,
2021-02-10,2021-02-15,Carnival Celebrations,Cultural Celebration,,,42,
2021-04-25,2021-04-25,Junii Brașovului Parade,Traditional Festival,,,90,
2021-04-25,2021-04-25,Brașov Marathon,Sports Event,,,58,
2021-07-26,2021-07-31,Rockstadt Extreme Fest,Music Festival,,,85,
2021-08-20,2021-08-27,Brașov Jazz & Blues Festival,Music Festival,,,82,
2021-10-09,2021-10-11,International Book Fair,Cultural Event,,,56,
2021-10-28,2021-11-05,Dracula Film Festival,Film Festival,,,72,
2022-01-01,2022-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,74,
2022-02-09,2022-02-14,Carnival Celebrations,Cultural Celebration,,,44,
2022-04-24,2022-04-24,Junii Brașovului Parade,Traditional Festival,,,92,
2022-04-24,2022-04-24,Brașov Marathon,Sports Event,,,60,
2022-07-25,2022-07-30,Rockstadt Extreme Fest,Music Festival,,,87,
2022-08-19,2022-08-26,Brașov Jazz & Blues Festival,Music Festival,,,84,
2022-10-08,2022-10-10,International Book Fair,Cultural Event,,,58,
2022-10-25,2022-11-02,Dracula Film Festival,Film Festival,,,74,
2023-01-01,2023-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,76,
2023-02-08,2023-02-13,Carnival Celebrations,Cultural Celebration,,,46,
2023-04-09,2023-04-09,Junii Brașovului Parade,Traditional Festival,,,94,
2023-04-23,2023-04-23,Brașov Marathon,Sports Event,,,62,
2023-07-24,2023-07-29,Rockstadt Extreme Fest,Music Festival,,,89,
2023-08-18,2023-08-25,Brașov Jazz & Blues Festival,Music Festival,,,86,
2023-08-20,2023-08-20,Street Food Festival Brașov,Food Festival,,,72,
2023-10-07,2023-10-09,International Book Fair,Cultural Event,,,60,
2023-10-31,2023-11-02,Dracula Film Festival,Film Festival,,,75,
2024-01-01,2024-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,78,
2024-02-07,2024-02-12,Carnival Celebrations,Cultural Celebration,,,48,
2024-04-21,2024-04-21,Junii Brașovului Parade,Traditional Festival,,,96,
2024-04-21,2024-04-21,Brașov Marathon,Sports Event,,,64,
2024-07-23,2024-07-28,Rockstadt Extreme Fest,Music Festival,,,91,
2024-08-17,2024-08-24,Brașov Jazz & Blues Festival,Music Festival,,,88,
2024-08-19,2024-08-19,Street Food Festival Brașov,Food Festival,,,74,
2024-10-04,2024-10-04,Brașov Running Festival,Sports Event,,,58,
2024-10-30,2024-11-03,Dracula Film Festival,Film Festival,,,82,
2024-09-01,2024-09-30,Oktoberfest Brașov,Beer & Food Festival,,,80,
2025-01-01,2025-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,80,
2025-02-06,2025-02-11,Carnival Celebrations,Cultural Celebration,,,50,
2025-04-27,2025-04-27,Junii Brașovului Parade,Traditional Festival,,,98,
2025-04-27,2025-04-27,Brașov Marathon,Sports Event,,,66,
2025-07-28,2025-08-02,Rockstadt Extreme Fest,Music Festival,,,93,
2025-08-22,2025-08-29,Brașov Jazz & Blues Festival,Music Festival,,,90,
2025-08-24,2025-08-24,Street Food Festival Brașov,Food Festival,,,76,
2025-09-01,2025-09-30,Oktoberfest Brașov,Beer & Food Festival,,,87,
2025-10-03,2025-10-03,Brașov Running Festival,Sports Event,,,62,
2025-10-30,2025-11-03,Dracula Film Festival,Film Festival,,,85,
2025-07-30,2025-08-03,BABA Festival,Music Festival,,,70,
2026-01-01,2026-01-07,Christmas Market Brașov,Seasonal/Holiday Festival,,,82,
2026-02-05,2026-02-10,Carnival Celebrations,Cultural Celebration,,,52,
2026-04-19,2026-04-19,Junii Brașovului Parade,Traditional Festival,,,100,
2026-04-25,2026-04-25,Brașov Marathon,Sports Event,,,68,
2026-07-27,2026-08-01,Rockstadt Extreme Fest,Music Festival,,,95,
2026-08-14,2026-08-21,Brașov Jazz & Blues Festival,Music Festival,,,92,
2026-08-20,2026-08-20,Street Food Festival Brașov,Food Festival,,,78,
2026-09-01,2026-09-30,Oktoberfest Brașov,Beer & Food Festival,,,89,
2026-10-04,2026-10-04,Brașov Running Festival,Sports Event,,,64,
2026-10-30,2026-11-03,Dracula Film Festival,Film Festival,,,87,
2026-07-30,2026-08-03,BABA Festival,Music Festival,,,72,
2026-08-28,2026-08-28,Bran Jazz Festival,Music Festival,,,68,
2026-07-17,2026-07-17,Summer Choir Concert Igreja Negra,Music Concert,,,55,
2026-08-08,2026-08-08,Lake Concert (Lacul),Music Concert,,,60,
2026-09-11,2026-09-11,Székely Vágta Cavalry Parade,Cultural Celebration,,,75,
2026-09-21,2026-09-21,Stefan Banica Concert,Music Performance,,,65,
2026-11-19,2026-11-19,Teo Vio Costel Stand Up Comedy,Comedy Show,,,58,
2026-08-15,2026-08-15,Cetatea Râșnov Festival,Cultural Festival,,,70,
