name,cui,year,revenue_ron,net_profit_ron,employees,source,note
Hotel Împăratul Romanilor,2468963,2024,19675046,-1309755,52,totalfirme.ro,
Hotel Împăratul Romanilor,2468963,2025,18628841,-1521693,59,totalfirme.ro,
Casa Luxemburg,16384382,2020,225445,-99615,4,totalfirme.ro,Kultours SRL
Casa Luxemburg,16384382,2021,327488,69415,3,totalfirme.ro,
Casa Luxemburg,16384382,2022,472030,30913,2,totalfirme.ro,
Casa Luxemburg,16384382,2023,1028194,24200,5,totalfirme.ro,
Casa Luxemburg,16384382,2024,1131829,20277,7,totalfirme.ro,
Casa Luxemburg,16384382,2025,1209295,15606,6,totalfirme.ro,
Kombinat,25366105,2020,770210,-114707,9,totalfirme.ro,Funky Marketing SRL
Kombinat,25366105,2021,1394282,270307,5,totalfirme.ro,
Kombinat,25366105,2022,2223689,415831,11,totalfirme.ro,
Kombinat,25366105,2023,2792430,301292,11,totalfirme.ro,
Kombinat,25366105,2024,3328164,509726,14,totalfirme.ro,
Kombinat,25366105,2025,4372699,958590,16,totalfirme.ro,
